Data a almacenar [x,y]:
Inf,Inf
Inf,Inf
Inf,Inf
-3845.820,>820.651
-2073.201,8007.468
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2501.262,8286.215
-1655.453,5599.931
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2334.887,4064.597
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-5061.032,9431.375
-998.800,1878.470
-4983.705,9472.464
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-6862.473,=973.313
Inf,Inf
-2816.579,5835.306
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1655.483,3552.724
-1269.560,2744.042
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-6258.793,=833.516
-2563.843,5670.860
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-4609.205,:224.610
Inf,Inf
-4717.265,:456.707
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-140.127,304.835
-6395.135,=912.018
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1192.802,2497.254
-4400.092,9192.706
-867.690,1801.419
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-6240.552,<280.875
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-4365.178,7915.666
-7907.756,>147.453
-3441.120,6086.030
-3010.487,5152.477
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-5594.200,8823.557
Inf,Inf
-5304.995,8096.279
-44.113,66.137
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1893.404,4704.798
-1407.496,3382.334
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-1836.683,1519.099
-7969.936,6555.318
-1350.153,1103.121
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-;693.058,8861.450
Inf,Inf
-:567.578,7801.770
-3578.042,2614.537
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-=666.311,8472.440
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-:320.096,5009.082
Inf,Inf
